dataset,"[.0,.2)","[.2,.4)","[.4,.6)","[.6,.8)","[.8,1.]",d_acc
hepatitis,0.0000,0.0000,0.1178,0.1966,0.6856,+0.0027
wine,0.0000,0.0000,0.0227,0.1143,0.8630,+0.0000
heart-disease,0.0000,0.0000,0.1445,0.3624,0.4931,+0.0036
parkinsons,0.0000,0.0000,0.0826,0.2213,0.6961,+0.0040
sonar,0.0000,0.0000,0.2722,0.4356,0.2922,+0.0026
heart-statlog,0.0000,0.0000,0.1534,0.3543,0.4922,+0.0016
haberman,0.0000,0.0000,0.1516,0.3151,0.5333,+0.0007
spect,0.0000,0.0000,0.0722,0.2645,0.6633,-0.0004
ionosphere,0.0000,0.0000,0.0456,0.1494,0.8050,-0.0013
australian,0.0000,0.0000,0.0837,0.2460,0.6703,+0.0002
breast-w,0.0000,0.0000,0.0211,0.0549,0.9240,+0.0003
transfusion,0.0000,0.0000,0.0908,0.2808,0.6284,+0.0126
diabetes,0.0000,0.0000,0.1844,0.3829,0.4327,+0.0013
wdbc,0.0000,0.0000,0.0384,0.0900,0.8715,+0.0023
banknote,0.0000,0.0000,0.0064,0.0216,0.9720,+0.0021
german-credit,0.0000,0.0000,0.2280,0.4148,0.3573,+0.0001
tic-tac-toe,0.0000,0.0000,0.1064,0.3110,0.5826,+0.0095
spambase,0.0000,0.0000,0.0395,0.1229,0.8375,+0.0011
eeg-eye-state,0.0000,0.0000,0.1758,0.4405,0.3836,+0.0122
magic-gamma,0.0000,0.0000,0.0931,0.2538,0.6531,+0.0005
yeast-me2,0.0000,0.0000,0.0113,0.0367,0.9520,+0.0001
oil,0.0000,0.0000,0.0176,0.0418,0.9407,+0.0000
phoneme,0.0000,0.0000,0.0808,0.1953,0.7239,+0.0007
kr-vs-kp,0.0000,0.0000,0.0152,0.0573,0.9275,+0.0004
jm1,0.0000,0.0000,0.0958,0.2927,0.6115,+0.0008
electricity,0.0000,0.0000,0.1324,0.3103,0.5573,+0.0002
adult,0.0000,0.0000,0.1097,0.2222,0.6681,+0.0009
musk,0.0000,0.0000,0.0038,0.0311,0.9651,+0.0001
nomao,0.0000,0.0000,0.0409,0.1008,0.8583,+0.0007
bank-marketing,0.0000,0.0000,0.0705,0.1407,0.7888,-0.0001
breast-cancer-uci,0.0000,0.0000,0.1620,0.3622,0.4758,+0.0027
mammographic-mass,0.0000,0.0000,0.0889,0.1967,0.7144,+0.0273
wine-quality-red,0.0000,0.0000,0.1587,0.3639,0.4774,-0.0001
wine-quality-white,0.0000,0.0000,0.1319,0.3221,0.5460,+0.0003
thoracic-surgery,0.0000,0.0000,0.0446,0.2487,0.7067,-0.0002
default-credit-card,0.0000,0.0000,0.0979,0.3166,0.5856,+0.0034
