dataset,M,S,MS,d_acc
mammographic-mass,0.0889,0.5817,0.0517,+0.0273
eeg-eye-state,0.1758,0.1970,0.0346,+0.0122
sonar,0.2722,0.1136,0.0309,+0.0026
tic-tac-toe,0.1064,0.2460,0.0262,+0.0095
transfusion,0.0908,0.2528,0.0230,+0.0126
heart-statlog,0.1534,0.1484,0.0228,+0.0016
default-credit-card,0.0979,0.2115,0.0207,+0.0034
haberman,0.1516,0.1257,0.0191,+0.0007
breast-cancer-uci,0.1620,0.1153,0.0187,+0.0027
parkinsons,0.0826,0.1843,0.0152,+0.0040
wine-quality-red,0.1587,0.0847,0.0134,-0.0001
adult,0.1097,0.1086,0.0119,+0.0009
jm1,0.0958,0.1162,0.0111,+0.0008
heart-disease,0.1445,0.0754,0.0109,+0.0036
diabetes,0.1844,0.0584,0.0108,+0.0013
phoneme,0.0808,0.1217,0.0098,+0.0007
wine-quality-white,0.1319,0.0508,0.0067,+0.0003
hepatitis,0.1178,0.0562,0.0066,+0.0027
wdbc,0.0384,0.1550,0.0060,+0.0023
australian,0.0837,0.0697,0.0058,+0.0002
german-credit,0.2280,0.0243,0.0055,+0.0001
kr-vs-kp,0.0152,0.3055,0.0046,+0.0004
magic-gamma,0.0931,0.0485,0.0045,+0.0005
electricity,0.1324,0.0333,0.0044,+0.0002
wine,0.0227,0.1792,0.0041,+0.0000
banknote,0.0064,0.5495,0.0035,+0.0021
thoracic-surgery,0.0446,0.0761,0.0034,-0.0002
spambase,0.0395,0.0790,0.0031,+0.0011
bank-marketing,0.0705,0.0400,0.0028,-0.0001
nomao,0.0409,0.0602,0.0025,+0.0007
musk,0.0038,0.5162,0.0020,+0.0001
breast-w,0.0211,0.0834,0.0018,+0.0003
oil,0.0176,0.0982,0.0017,+0.0000
spect,0.0722,0.0221,0.0016,-0.0004
yeast-me2,0.0113,0.1049,0.0012,+0.0001
ionosphere,0.0456,0.0164,0.0007,-0.0013
