dataset,n,rf_acc,nw_acc,rf_rmin,nw_rmin,rf_rmaj,nw_rmaj
hepatitis,83,0.8786666666666668,0.8720000000000001,0.49333333333333335,0.4066666666666666,0.9749999999999999,0.9883333333333334
wine,130,0.9863247863247864,0.9871794871794872,0.9907407407407407,0.9925925925925926,0.9825396825396826,0.9825396825396826
heart-disease,214,0.7933333333333336,0.7938461538461541,0.31666666666666665,0.26875,0.9489795918367345,0.9653061224489795
parkinsons,195,0.9033898305084745,0.9005649717514125,0.7022222222222223,0.6666666666666669,0.971969696969697,0.9803030303030302
sonar,208,0.8121693121693123,0.7941798941798943,0.7264367816091952,0.6770114942528734,0.8852941176470587,0.8941176470588235
heart-statlog,270,0.8296296296296296,0.8349794238683129,0.7601851851851852,0.7444444444444442,0.8851851851851852,0.9074074074074076
haberman,306,0.7032608695652175,0.7115942028985508,0.28194444444444444,0.26388888888888895,0.8519607843137254,0.869607843137255
spect,267,0.8263374485596706,0.8263374485596706,0.4843137254901961,0.48627450980392156,0.9171875,0.9166666666666666
ionosphere,351,0.9333333333333335,0.930503144654088,0.8780701754385966,0.8526315789473684,0.9642156862745098,0.9740196078431372
australian,690,0.871658615136876,0.8729468599033816,0.865217391304348,0.8590579710144927,0.8768115942028986,0.8840579710144925
breast-w,683,0.9712195121951217,0.9707317073170729,0.9657407407407406,0.9629629629629629,0.9741854636591479,0.974937343358396
transfusion,748,0.7447407407407406,0.7493333333333335,0.3222222222222222,0.31296296296296294,0.8781676413255362,0.8871345029239767
diabetes,768,0.7598845598845598,0.7619047619047621,0.5790123456790125,0.565843621399177,0.8575555555555556,0.8677777777777779
wdbc,569,0.9573099415204677,0.9561403508771928,0.934375,0.9291666666666667,0.9710280373831778,0.9722741433021809
banknote,1372,0.9920711974110031,0.9905339805825242,0.9930783242258651,0.9903460837887066,0.9912663755458513,0.9906841339155747
german-credit,1000,0.7538888888888889,0.7543333333333335,0.3737037037037038,0.3581481481481482,0.9168253968253967,0.9241269841269839
tic-tac-toe,958,0.9379629629629628,0.9241898148148149,0.8269999999999998,0.7896666666666666,0.9969858156028369,0.9957446808510639
spambase,4601,0.9537050446536327,0.9528361090996863,0.9270220588235294,0.9244485294117645,0.9710473914774987,0.9712863401035444
eeg-eye-state,4000,0.8686666666666667,0.8629722222222223,0.8233875828812537,0.8133815551537069,0.9073673364245233,0.905358062854199
magic-gamma,4000,0.8625555555555556,0.8621388888888889,0.7249802994483846,0.7164696611505122,0.9374517374517377,0.9414414414414414
yeast-me2,1484,0.9668161434977579,0.9672645739910314,0.1088888888888889,0.08444444444444446,0.9966744006187163,0.9979891724671307
oil,937,0.9646572104018912,0.964066193853428,0.22777777777777777,0.19444444444444445,0.9974074074074075,0.9982716049382717
phoneme,5404,0.9045622688039459,0.9027127003699137,0.8252100840336135,0.8221988795518208,0.9375218150087259,0.9361547411285632
kr-vs-kp,3196,0.9897810218978103,0.9897115050399723,0.9855895196506549,0.9852983988355165,0.9936127744510979,0.9937458416500334
jm1,10885,0.8161767707695448,0.817197387221882,0.22631856540084389,0.2220464135021097,0.9577069096431282,0.9599974689951911
electricity,4999,0.8360888888888888,0.8350222222222221,0.7613814756671898,0.7562009419152277,0.89123213595983,0.8932020084974892
adult,4999,0.8506888888888889,0.8520222222222221,0.6070566388115135,0.6045496750232126,0.9273444347063976,0.9298860648553897
musk,6598,0.9998148148148148,0.9981144781144781,0.9987978142076503,0.98775956284153,1.0,1.0
nomao,4999,0.9493555555555556,0.9485111111111112,0.8985981308411216,0.8947040498442368,0.9696206467661692,0.9699937810945273
bank-marketing,4999,0.8970888888888889,0.8964222222222221,0.30895238095238103,0.28571428571428575,0.9747672955974843,0.9770817610062893
breast-cancer-uci,286,0.7147286821705429,0.7220930232558138,0.36025641025641025,0.3384615384615385,0.8683333333333333,0.8883333333333332
mammographic-mass,961,0.7873125720876587,0.7916955017301038,0.7572139303482587,0.7592039800995026,0.8133333333333332,0.8197849462365592
wine-quality-red,1599,0.8069444444444442,0.808263888888889,0.7962630792227205,0.7965620328849029,0.8162127107652402,0.8184176394293128
wine-quality-white,4898,0.8307256235827665,0.8307256235827666,0.6864498644986451,0.6808943089430896,0.9033060668029994,0.9061008861622358
thoracic-surgery,470,0.8484633569739951,0.8503546099290777,0.019047619047619046,0.009523809523809523,0.9936111111111112,0.9975000000000002
default-credit-card,5000,0.8115555555555554,0.8127555555555556,0.3664658634538153,0.3659638554216868,0.9380707762557078,0.9397545662100456
