dataset,n,rf_acc,cpfw_acc,d_acc,rf_rmin,cpfw_rmin,d_rmin,rf_rmaj,cpfw_rmaj,d_rmaj
hepatitis,83,0.8787,0.8813,+0.0027,0.4933,0.5000,+0.0067,0.9750,0.9767,+0.0017
wine,130,0.9863,0.9863,+0.0000,0.9907,0.9907,+0.0000,0.9825,0.9825,+0.0000
heart-disease,214,0.7933,0.7969,+0.0036,0.3167,0.3312,+0.0146,0.9490,0.9490,-0.0000
parkinsons,195,0.9034,0.9073,+0.0040,0.7022,0.7156,+0.0133,0.9720,0.9727,+0.0008
sonar,208,0.8122,0.8148,+0.0026,0.7264,0.7287,+0.0023,0.8853,0.8882,+0.0029
heart-statlog,270,0.8296,0.8313,+0.0016,0.7602,0.7602,-0.0000,0.8852,0.8881,+0.0030
haberman,306,0.7033,0.7040,+0.0007,0.2819,0.2889,+0.0069,0.8520,0.8505,-0.0015
spect,267,0.8263,0.8259,-0.0004,0.4843,0.4843,+0.0000,0.9172,0.9167,-0.0005
ionosphere,351,0.9333,0.9321,-0.0013,0.8781,0.8772,-0.0009,0.9642,0.9627,-0.0015
australian,690,0.8717,0.8718,+0.0002,0.8652,0.8678,+0.0025,0.8768,0.8751,-0.0017
breast-w,683,0.9712,0.9715,+0.0003,0.9657,0.9671,+0.0014,0.9742,0.9739,-0.0003
transfusion,748,0.7447,0.7573,+0.0126,0.3222,0.3475,+0.0253,0.8782,0.8867,+0.0086
diabetes,768,0.7599,0.7612,+0.0013,0.5790,0.5835,+0.0045,0.8576,0.8571,-0.0004
wdbc,569,0.9573,0.9596,+0.0023,0.9344,0.9375,+0.0031,0.9710,0.9729,+0.0019
banknote,1372,0.9921,0.9942,+0.0021,0.9931,0.9953,+0.0022,0.9913,0.9933,+0.0020
german-credit,1000,0.7539,0.7540,+0.0001,0.3737,0.3726,-0.0011,0.9168,0.9175,+0.0006
tic-tac-toe,958,0.9380,0.9475,+0.0095,0.8270,0.8500,+0.0230,0.9970,0.9993,+0.0023
spambase,4601,0.9537,0.9548,+0.0011,0.9270,0.9293,+0.0023,0.9710,0.9713,+0.0003
eeg-eye-state,4000,0.8687,0.8809,+0.0122,0.8234,0.8417,+0.0183,0.9074,0.9144,+0.0071
magic-gamma,4000,0.8626,0.8631,+0.0005,0.7250,0.7268,+0.0018,0.9375,0.9373,-0.0002
yeast-me2,1484,0.9668,0.9670,+0.0001,0.1089,0.1133,+0.0044,0.9967,0.9967,+0.0000
oil,937,0.9647,0.9647,+0.0000,0.2278,0.2389,+0.0111,0.9974,0.9969,-0.0005
phoneme,5404,0.9046,0.9052,+0.0007,0.8252,0.8253,+0.0001,0.9375,0.9385,+0.0009
kr-vs-kp,3196,0.9898,0.9902,+0.0004,0.9856,0.9856,+0.0000,0.9936,0.9943,+0.0007
jm1,10885,0.8162,0.8170,+0.0008,0.2263,0.2409,+0.0146,0.9577,0.9552,-0.0025
electricity,4999,0.8361,0.8363,+0.0002,0.7614,0.7627,+0.0013,0.8912,0.8906,-0.0006
adult,4999,0.8507,0.8516,+0.0009,0.6071,0.6114,+0.0044,0.9273,0.9272,-0.0002
musk,6598,0.9998,0.9999,+0.0001,0.9988,0.9997,+0.0009,1.0000,1.0000,+0.0000
nomao,4999,0.9494,0.9500,+0.0007,0.8986,0.8984,-0.0002,0.9696,0.9707,+0.0011
bank-marketing,4999,0.8971,0.8970,-0.0001,0.3090,0.3105,+0.0015,0.9748,0.9745,-0.0003
breast-cancer-uci,286,0.7147,0.7174,+0.0027,0.3603,0.3692,+0.0090,0.8683,0.8683,+0.0000
mammographic-mass,961,0.7873,0.8146,+0.0273,0.7572,0.7920,+0.0348,0.8133,0.8342,+0.0209
wine-quality-red,1599,0.8069,0.8069,-0.0001,0.7963,0.7967,+0.0004,0.8162,0.8157,-0.0005
wine-quality-white,4898,0.8307,0.8310,+0.0003,0.6864,0.6871,+0.0007,0.9033,0.9034,+0.0001
thoracic-surgery,470,0.8485,0.8482,-0.0002,0.0190,0.0206,+0.0016,0.9936,0.9931,-0.0006
default-credit-card,5000,0.8116,0.8149,+0.0034,0.3665,0.3847,+0.0183,0.9381,0.9372,-0.0009
